,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
15,0,1,22,8,350,3610,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,3.0
16,0,1,22,8,213,659,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,1,22,8,246,2090,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,255,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,
18,0,2,44,8,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,18,0.0,0.0,1.0,1.0,0.09,0.07,0.0,255,18,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20,0,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,19,0.0,0.0,1.0,1.0,0.16,0.05,0.0,255,19,0.07,0.05,0.0,0.0,0.0,0.0,1.0,1.0,3.0
22,0,1,22,8,196,1823,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,1,22,8,277,1816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,18,0.0,0.0,0.0,0.0,1.0,0.0,0.11,36,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0
24,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,8,0.0,0.0,1.0,1.0,0.07,0.07,0.0,255,8,0.03,0.06,0.0,0.0,0.0,0.0,1.0,1.0,3.0
25,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,13,0.0,0.0,1.0,1.0,0.05,0.06,0.0,255,13,0.05,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0
26,0,1,22,8,294,6442,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,46,0.0,0.0,0.0,0.0,1.0,0.0,0.11,180,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,3.0
27,0,1,22,8,300,440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,14,8,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,59,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0
29,0,2,44,8,54,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
30,805,1,22,3,76944,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0.0,0.0,1.0,1.0,1.0,0.0,0.0,241,238,0.99,0.01,0.0,0.0,0.0,0.0,0.07,0.07,
31,0,1,49,8,720,281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,158,82,0.52,0.06,0.01,0.0,0.01,0.0,0.0,0.0,3.0
32,0,1,22,8,301,19794,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,255,1.0,0.0,0.05,0.02,0.05,0.0,0.0,0.0,0.0
33,0,2,44,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0.0,0.0,0.0,0.0,0.08,0.38,0.0,255,3,0.01,0.58,0.99,0.0,0.0,0.0,0.01,0.0,
36,0,1,22,8,209,12894,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,2,11,8,43,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,1,19,8,88382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,203,114,0.38,0.01,0.38,0.02,0.0,0.0,0.0,0.0,3.0
40,0,1,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,8,1.0,1.0,0.0,0.0,0.06,0.06,0.0,255,8,0.03,0.06,0.0,0.0,1.0,1.0,0.0,0.0,3.0
41,0,1,22,8,277,4968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,255,1.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0,3.0
42,0,1,22,8,321,2715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,37,0.03,0.05,0.0,0.0,1.0,0.0,0.08,29,255,1.0,0.0,0.03,0.04,0.03,0.0,0.0,0.0,0.0
43,0,1,22,8,335,3228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,50,0.0,0.0,0.0,0.0,1.0,0.0,0.04,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,8,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,8,0.03,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0
45,0,1,22,8,234,3236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,21,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
46,0,1,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,6,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,6,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0.0,6.0
47,0,1,22,8,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,24,0.0,0.0,0.0,0.0,1.0,0.0,0.08,255,250,0.98,0.01,0.0,0.0,0.0,0.0,0.06,0.06,0.0
49,0,2,44,8,46,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,3.0
50,0,1,22,8,318,488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,16,0.0,0.0,0.0,0.0,1.0,0.0,0.12,3,156,1.0,0.0,0.33,0.04,0.0,0.01,0.0,0.0,0.0
51,0,1,22,8,256,4926,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41,0.0,0.0,0.0,0.0,1.0,0.0,0.07,255,241,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,3.0
52,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,7,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,7,0.03,0.07,0.0,0.0,0.0,0.0,1.0,1.0,6.0
53,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,3,0.0,0.0,1.0,1.0,0.01,0.08,0.0,255,3,0.01,0.08,0.0,0.0,0.0,0.0,1.0,1.0,0.0
55,0,1,22,8,229,509,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0
56,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,8,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,8,0.03,0.06,0.0,0.0,0.0,0.0,1.0,1.0,
58,7428,1,55,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,217,0.85,0.03,0.0,0.0,0.33,0.39,0.12,0.06,3.0
59,0,1,22,8,282,396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0,1,22,8,233,2239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,197,0.77,0.02,0.0,0.0,0.0,0.0,0.0,0.0,
63,0,1,22,8,257,8712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,20,0.0,0.0,0.0,0.0,1.0,0.0,0.2,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,1,22,8,214,645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,13,0.0,0.0,1.0,1.0,0.12,0.06,0.0,255,13,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0,3.0
68,0,1,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,1,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,1,0.0,0.05,0.0,0.0,1.0,1.0,0.0,0.0,3.0
69,0,1,22,8,203,651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
70,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,14,0.0,0.0,1.0,1.0,0.06,0.06,0.0,255,14,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0
71,0,1,49,8,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61,146,0.8,0.07,0.02,0.01,0.0,0.0,0.0,0.01,3.0
72,0,1,22,8,307,484,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,255,1.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0
73,0,1,22,8,320,1667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,30,0.0,0.0,0.0,0.0,1.0,0.0,0.17,85,253,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0
74,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,3,0.0,0.0,1.0,1.0,0.01,0.06,0.0,255,3,0.01,0.06,0.0,0.0,0.0,0.0,1.0,1.0,3.0
75,0,1,22,8,215,430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0
76,0,1,22,8,358,3691,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,3.0
77,8092,1,55,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,67,0.26,0.03,0.0,0.0,0.0,0.01,0.11,0.19,0.0
78,0,1,22,8,270,1332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,255,1.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,0.0
79,0,1,22,8,337,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,29,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
80,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,19,0.01,0.0,0.99,1.0,0.07,0.06,0.0,255,19,0.07,0.06,0.0,0.0,0.01,0.0,0.99,1.0,0.0
81,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,6,0.0,0.0,1.0,1.0,0.03,0.07,0.0,255,6,0.02,0.07,0.0,0.0,0.0,0.0,1.0,1.0,3.0
82,0,0,14,8,1480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,25,1.0,0.0,1.0,0.52,0.0,0.0,0.0,0.0,3.0
83,0,1,22,8,219,1310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,251,1.0,0.0,0.25,0.08,0.0,0.0,0.0,0.0,
84,0,1,22,8,258,1012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0,1,22,8,324,1093,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8,0.0,0.0,0.0,0.0,1.0,0.0,0.38,69,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,3.0
86,0,1,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,19,0.0,0.0,1.0,1.0,0.33,0.07,0.0,255,62,0.24,0.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0
88,0,1,22,8,236,10503,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
89,0,1,19,8,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,7,0.19,0.11,0.19,0.0,0.0,0.0,0.0,0.0,0.0
90,0,1,22,8,327,910,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,15,0.0,0.0,0.0,0.0,1.0,0.0,0.13,14,255,1.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.0
91,0,1,22,8,303,2789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,4,0.0,0.0,1.0,1.0,0.04,0.06,0.0,255,4,0.02,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0
95,0,1,49,8,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110,25,0.23,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0
96,0,1,22,8,282,4532,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,96,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0
97,0,2,11,8,44,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,255,253,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0,1,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,0.0,0.0,1.0,1.0,0.06,0.07,0.0,255,7,0.03,0.06,0.0,0.0,0.0,0.0,1.0,1.0,3.0
102,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,6,0.0,0.0,1.0,1.0,0.03,0.07,0.0,255,6,0.02,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0
103,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,15,0.0,0.0,1.0,1.0,0.14,0.08,0.0,255,15,0.06,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0
104,1,1,49,8,995,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62,42,0.66,0.05,0.02,0.05,0.0,0.0,0.0,0.0,6.0
105,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,12,0.0,0.0,1.0,1.0,0.05,0.07,0.0,255,12,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0
107,0,1,22,8,197,1830,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,229,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0
108,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,10,0.0,0.0,1.0,1.0,0.09,0.06,0.0,255,10,0.04,0.05,0.0,0.0,0.0,0.0,1.0,1.0,0.0
109,0,1,22,8,230,843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,255,1.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0
110,0,1,22,8,161,14086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,151,151,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
111,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,15,0.0,0.0,1.0,1.0,0.07,0.07,0.0,255,15,0.06,0.08,0.0,0.0,0.0,0.0,1.0,1.0,0.0
112,8080,1,55,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,69,0.27,0.03,0.0,0.0,0.0,0.01,0.11,0.19,0.0
113,8124,1,55,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,60,0.24,0.04,0.0,0.0,0.0,0.02,0.11,0.22,0.0
114,0,1,22,8,224,278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0,1,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,20,1.0,1.0,0.0,0.0,0.08,0.07,0.0,255,20,0.08,0.07,0.0,0.0,1.0,1.0,0.0,0.0,
116,0,1,22,8,321,372,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,17,0.0,0.0,0.0,0.0,1.0,0.0,0.12,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
117,0,0,14,8,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,17,0.0,0.0,1.0,1.0,0.06,0.06,0.0,255,17,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0
120,0,1,22,8,303,289,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,11,0.0,0.0,0.0,0.0,1.0,0.0,0.36,30,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,3.0
121,0,0,14,8,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,192,0.75,0.02,0.75,0.0,0.0,0.0,0.23,0.0,3.0
123,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,12,0.0,0.0,1.0,1.0,0.09,0.05,0.0,255,12,0.05,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0
124,0,1,17,8,8,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,74,10,0.04,0.31,0.01,0.2,0.01,0.0,0.0,0.0,3.0
125,0,2,11,8,43,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,207,0.0,0.0,0.0,0.0,1.0,0.01,0.0,255,254,1.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
127,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,2,0.03,0.0,0.97,1.0,0.01,0.07,0.0,255,2,0.01,0.08,0.0,0.0,0.02,0.0,0.98,1.0,0.0
128,0,1,22,8,257,633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,171,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0
129,0,2,11,8,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0.0,0.0,0.0,0.0,1.0,0.0,0.25,220,220,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0,2,11,8,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0.0,0.0,0.0,0.0,1.0,0.0,0.11,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,3.0
131,0,1,22,8,219,5881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49,0.0,0.0,0.0,0.0,1.0,0.0,0.12,1,255,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,3.0
132,0,1,55,7,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255,117,0.46,0.02,0.0,0.0,0.53,0.37,0.01,0.01,0.0
133,0,1,22,8,260,4027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,105,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0
134,7554,1,55,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,169,0.66,0.31,0.0,0.0,0.5,0.75,0.31,0.01,3.0
135,0,1,22,8,357,247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.67,131,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,3.0
136,0,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,19,0.0,0.0,1.0,1.0,0.09,0.06,0.0,255,19,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0
139,0,1,22,8,218,287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
140,0,1,22,8,290,2267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4,11,254,1.0,0.0,0.09,0.03,0.0,0.0,0.0,0.0,0.0
